"STATION","NAME","DATE","AWND","PGTM","PRCP","SNOW","SNWD","TAVG","TMAX","TMIN","WDF2","WDF5","WSF2","WSF5","WT01","WT03","WT07","WT08"
"USW00023183","PHOENIX AIRPORT, AZ US","2025-06-15","5.59",,"0.00","0.0","0.0","98","114","81","  280","  280","19.9","33.1",,,,
"USW00023183","PHOENIX AIRPORT, AZ US","2025-06-16","7.61",,"0.00","0.0","0.0","100","114","83","  270","  290","19.9","29.1",,,,
"USW00023183","PHOENIX AIRPORT, AZ US","2025-06-17","7.38",,"0.00","0.0","0.0","99","110","86","  280","  340","17.0","33.1",,,,
"USW00023183","PHOENIX AIRPORT, AZ US","2025-06-18","5.82",,"0.00","0.0","0.0","98","114","83","  270","  290","16.1","21.0",,,,
"USW00023183","PHOENIX AIRPORT, AZ US","2025-06-19","8.28",,"0.00","0.0","0.0","101","117","85","  270","  290","23.0","31.1",,,,
"USW00023183","PHOENIX AIRPORT, AZ US","2025-06-20","7.83",,"0.00","0.0","0.0","99","110","84","  280","  270","21.9","30.0",,,,
"USW00023183","PHOENIX AIRPORT, AZ US","2025-06-21","10.51",,"0.00","0.0","0.0","96","106","82","  270","  280","23.9","32.0",,,,
"USW00023183","PHOENIX AIRPORT, AZ US","2025-06-22","8.50",,"0.00","0.0","0.0","91","99","79","  290","  320","21.0","25.1",,,,
"USW00023183","PHOENIX AIRPORT, AZ US","2025-06-23","10.29",,"0.00","0.0","0.0","91","104","80","  280","  220","23.0","30.0",,,,
"USW00023183","PHOENIX AIRPORT, AZ US","2025-06-24","7.83",,"0.00","0.0","0.0","92","105","81","  280","  300","18.1","25.1",,,,
"USW00023183","PHOENIX AIRPORT, AZ US","2025-06-25","5.14",,"0.00","0.0","0.0","92","103","79","  290","  340","18.1","29.1",,,,
"USW00023183","PHOENIX AIRPORT, AZ US","2025-06-26","5.37",,"0.00","0.0","0.0","94","105","81","  280","  280","16.1","25.1",,,,
"USW00023183","PHOENIX AIRPORT, AZ US","2025-06-27","7.16",,"0.00","0.0","0.0","96","107","82","  310","  330","18.1","25.1",,,,
"USW00023183","PHOENIX AIRPORT, AZ US","2025-06-28","8.95",,"0.00","0.0","0.0","98","109","87","  270","  260","19.9","25.9",,,,
"USW00023183","PHOENIX AIRPORT, AZ US","2025-06-29","9.62",,"0.00","0.0","0.0","101","114","87","  290","  340","23.0","35.1",,,,
"USW00023183","PHOENIX AIRPORT, AZ US","2025-06-30","7.83",,"0.00","0.0",,"103","116","90","  130","  130","18.1","27.1",,,,
